"City","date","pm25","pm10","Month","Day","Year"
"Lviv",2020-03-31,43,23,3,31,"2020"
"Lviv",2020-03-30,126,20,3,30,"2020"
"Lviv",2020-03-29,115,59,3,29,"2020"
"Lviv",2020-03-28,97,52,3,28,"2020"
"Lviv",2020-03-27,74,45,3,27,"2020"
"Lviv",2020-03-26,74,35,3,26,"2020"
"Lviv",2020-03-25,56,39,3,25,"2020"
"Lviv",2020-03-24,51,27,3,24,"2020"
"Lviv",2020-03-23,25,22,3,23,"2020"
"Lviv",2020-03-22,56,11,3,22,"2020"
"Lviv",2020-03-21,100,25,3,21,"2020"
"Lviv",2020-03-20,113,45,3,20,"2020"
"Lviv",2020-03-19,123,52,3,19,"2020"
"Lviv",2020-03-18,65,57,3,18,"2020"
"Lviv",2020-03-17,59,30,3,17,"2020"
"Lviv",2020-03-16,29,30,3,16,"2020"
"Lviv",2020-03-15,27,15,3,15,"2020"
"Lviv",2020-03-14,30,14,3,14,"2020"
"Lviv",2020-03-13,44,17,3,13,"2020"
"Lviv",2020-03-12,52,19,3,12,"2020"
"Lviv",2020-03-11,112,25,3,11,"2020"
"Lviv",2020-03-10,94,56,3,10,"2020"
"Lviv",2020-03-09,84,44,3,9,"2020"
"Lviv",2020-03-08,92,38,3,8,"2020"
"Lviv",2020-03-07,112,42,3,7,"2020"
"Lviv",2020-03-06,84,57,3,6,"2020"
"Lviv",2020-03-05,58,40,3,5,"2020"
"Lviv",2020-03-04,78,24,3,4,"2020"
"Lviv",2020-03-01,87,17,3,1,"2020"
"Lviv",2020-02-29,90,42,2,29,"2020"
